"","V1","V2","V3"
"149","hosp_den_label","hosp_den_label","0.499372342158166"
"150","transit_den_label","transit_den_label","0.29097214029235"
"151","hosp_den_label","non_transit_den_label","0.561797961762337"
"152","hosp_den_label","hosp_den_label","0.499372342158166"
"153","non_transit_den_label","non_transit_den_label","0.159114540987408"
"154","hosp_den_label","stop_den_label","0.54665633062128"
"155","hosp_den_label","hosp_den_label","0.499372342158166"
"156","stop_den_label","stop_den_label","0.170160226124727"
"157","transit_den_label","non_transit_den_label","0.425597002146151"
"158","transit_den_label","transit_den_label","0.29097214029235"
"159","non_transit_den_label","non_transit_den_label","0.159114540987408"
"160","transit_den_label","stop_den_label","0.46630091770587"
"161","transit_den_label","transit_den_label","0.29097214029235"
"162","stop_den_label","stop_den_label","0.170160226124727"
"163","non_transit_den_label","stop_den_label","0.312920344234867"
"164","non_transit_den_label","non_transit_den_label","0.159114540987408"
"165","stop_den_label","stop_den_label","0.170160226124727"
