"","V1","V2","V3"
"126","hosp_den_label","hosp_den_label","0.540273364351422"
"127","Per_Public_label","transit_den_label","0.562834285955421"
"128","Per_Public_label","Per_Public_label","0.157117445116271"
"129","transit_den_label","transit_den_label","0.286391006619676"
"130","Per_Public_label","non_transit_den_label","0.37950243445942"
"131","Per_Public_label","Per_Public_label","0.157117445116271"
"132","non_transit_den_label","non_transit_den_label","0.157982228151257"
"133","Per_Public_label","stop_den_label","0.273999097090412"
"134","Per_Public_label","Per_Public_label","0.157117445116271"
"135","stop_den_label","stop_den_label","0.13653803653067"
"136","pos_label","hosp_den_label","0.683459635223451"
"137","pos_label","pos_label","0.444645648842953"
"138","hosp_den_label","hosp_den_label","0.540273364351422"
"139","pos_label","transit_den_label","0.565146342387402"
"140","pos_label","pos_label","0.444645648842953"
"141","transit_den_label","transit_den_label","0.286391006619676"
"142","pos_label","non_transit_den_label","0.58220370173275"
"143","pos_label","pos_label","0.444645648842953"
"144","non_transit_den_label","non_transit_den_label","0.157982228151257"
"145","pos_label","stop_den_label","0.563959328204033"
"146","pos_label","pos_label","0.444645648842953"
"147","stop_den_label","stop_den_label","0.13653803653067"
"148","hosp_den_label","transit_den_label","0.628334426270131"
"149","hosp_den_label","hosp_den_label","0.540273364351422"
"150","transit_den_label","transit_den_label","0.286391006619676"
"151","hosp_den_label","non_transit_den_label","0.593685046277041"
"152","hosp_den_label","hosp_den_label","0.540273364351422"
"153","non_transit_den_label","non_transit_den_label","0.157982228151257"
"154","hosp_den_label","stop_den_label","0.583114819929881"
"155","hosp_den_label","hosp_den_label","0.540273364351422"
"156","stop_den_label","stop_den_label","0.13653803653067"
"157","transit_den_label","non_transit_den_label","0.428294822157966"
"158","transit_den_label","transit_den_label","0.286391006619676"
"159","non_transit_den_label","non_transit_den_label","0.157982228151257"
"160","transit_den_label","stop_den_label","0.387155369068852"
"161","transit_den_label","transit_den_label","0.286391006619676"
"162","stop_den_label","stop_den_label","0.13653803653067"
"163","non_transit_den_label","stop_den_label","0.269776180710246"
"164","non_transit_den_label","non_transit_den_label","0.157982228151257"
"165","stop_den_label","stop_den_label","0.13653803653067"
