"","V1","V2","V3"
"124","Per_Public_label","hosp_den_label","0.660206003982053"
"125","Per_Public_label","Per_Public_label","0.169620557609474"
"126","hosp_den_label","hosp_den_label","0.536128585310806"
"127","Per_Public_label","transit_den_label","0.49723670711384"
"128","Per_Public_label","Per_Public_label","0.169620557609474"
"129","transit_den_label","transit_den_label","0.28949374813125"
"130","Per_Public_label","non_transit_den_label","0.391591455690192"
"131","Per_Public_label","Per_Public_label","0.169620557609474"
"132","non_transit_den_label","non_transit_den_label","0.182336342627025"
"133","Per_Public_label","stop_den_label","0.260885525764411"
"134","Per_Public_label","Per_Public_label","0.169620557609474"
"135","stop_den_label","stop_den_label","0.112831285714032"
"136","pos_label","hosp_den_label","0.688167987721668"
"137","pos_label","pos_label","0.481881183622184"
"138","hosp_den_label","hosp_den_label","0.536128585310806"
"139","pos_label","transit_den_label","0.622510599087599"
"140","pos_label","pos_label","0.481881183622184"
"141","transit_den_label","transit_den_label","0.28949374813125"
"142","pos_label","non_transit_den_label","0.581445254331456"
"143","pos_label","pos_label","0.481881183622184"
"144","non_transit_den_label","non_transit_den_label","0.182336342627025"
"145","pos_label","stop_den_label","0.562676938022636"
"146","pos_label","pos_label","0.481881183622184"
"147","stop_den_label","stop_den_label","0.112831285714032"
"148","hosp_den_label","transit_den_label","0.610187324297852"
"149","hosp_den_label","hosp_den_label","0.536128585310806"
"150","transit_den_label","transit_den_label","0.28949374813125"
"151","hosp_den_label","non_transit_den_label","0.608998134213309"
"152","hosp_den_label","hosp_den_label","0.536128585310806"
"153","non_transit_den_label","non_transit_den_label","0.182336342627025"
"154","hosp_den_label","stop_den_label","0.555345341750786"
"155","hosp_den_label","hosp_den_label","0.536128585310806"
"156","stop_den_label","stop_den_label","0.112831285714032"
"157","transit_den_label","non_transit_den_label","0.429258814726483"
"158","transit_den_label","transit_den_label","0.28949374813125"
"159","non_transit_den_label","non_transit_den_label","0.182336342627025"
"160","transit_den_label","stop_den_label","0.350976121835076"
"161","transit_den_label","transit_den_label","0.28949374813125"
"162","stop_den_label","stop_den_label","0.112831285714032"
"163","non_transit_den_label","stop_den_label","0.258719081597063"
"164","non_transit_den_label","non_transit_den_label","0.182336342627025"
"165","stop_den_label","stop_den_label","0.112831285714032"
